Gene Profile Size	Taxon Profile Size	Semantic similarity
15	14	0.096137097
15	191	0.401666003
15	28	0.237664699
15	4	0.065285297
15	10	0.065285297
15	101	0.3791923
15	43	0.260138402
15	146	0.424139706
15	16	0.329889381
15	18	0.260138402
15	4	0.034433497
15	98	0.260138402
15	16	0.294420545
15	46	0.50721203
15	2	0.034433497
15	43	0.377014543
15	4	0.065285297
15	16	0.260138402
15	35	0.096137097
15	39	0.096137097
15	6	0.096137097
15	6	0.006821266
15	563	0.424139706
15	263	0.401666003
15	128	0.45842185
15	9	0.237664699
15	198	0.45842185
15	74	0.424139706
15	42	0.45842185
15	22	0.377014543
15	341	0.424139706
15	85	0.401666003
15	16	0.260138402
15	4	0.034433497
15	49	0.435948147
15	60	0.424139706
15	31	0.492703993
15	31	0.45842185
15	28	0.45842185
15	355	0.401666003
15	11	0.294420545
15	322	0.50721203
15	58	0.523350231
15	724	0.45842185
15	22	0.065285297
15	2	0.065285297
15	8	0.065285297
15	453	0.524980396
15	24	0.294420545
15	48	0.034433497
15	237	0.45842185
15	236	0.492703993
15	25	0.329889381
15	45	0.50721203
15	121	0.260138402
15	46	0.213013239
15	7	0.096137097
15	7	0.064073966
15	103	0.237664699
15	487	0.492703993
15	32	0.237664699
15	68	0.260138402
15	12	0.065285297
15	206	0.401666003
15	2	0.065285297
15	56	0.424139706
15	24	0.093714435
15	11	0.472929887
15	4	0.096137097
15	6	0.065285297
15	50	0.50721203
15	92	0.3791923
15	877	0.35454084
15	15	0.094925766
15	10	0.034433497
15	2	0.065285297
15	16	0.329889381
15	165	0.3791923
15	22	0.065285297
15	6	0.034433497
15	83	0.3791923
15	60	0.260138402
15	101	0.294420545
15	25	0.096137097
15	2	0.065285297
15	110	0.3791923
15	3	0.492703993
15	90	0.45842185
15	22	0.35454084
15	22	0.096137097
15	66	0.492703993
15	168	0.35454084
15	12	0.096137097
15	4	0.034433497
15	400	0.3791923
15	73	0.45842185
29	1058	0.610719626
29	16	0.445766305
29	89	0.424139706
29	275	0.591783767
29	98	0.397254078
29	48	0.48968798
29	27	0.424139706
11	2	0.765988495
11	6	0.096137097
29	43	0.36159824
11	4	0.071116756
11	4	0.071116756
11	6	0.096137097
11	109	0.714889306
29	285	0.583287231
29	372	0.605523823
29	332	0.937843524
29	3	0.874444647
11	506	0.797183117
11	2	0.071116756
29	2	0.040264956
11	94	0.482766596
29	14	0.467392904
29	128	0.631731234
11	6	0.654671473
29	85	0.608995975
29	349	0.920565533
29	631	0.70925661
11	631	0.727920455
11	272	0.701858158
11	70	0.415066033
29	23	0.615915429
29	29	0.445766305
29	56	0.734910568
11	56	0.539405589
11	34	0.37036845
29	52	0.610719626
29	24	0.602076522
29	116	0.557029788
29	11	0.511983055
29	49	0.558753439
11	7	0.046096415
29	4	0.14644509
11	4	0.042591885
11	2	0.046096415
11	6	0.096137097
29	6	1.358686645
29	26	0.595353062
29	724	0.856730646
29	133	0.644276724
29	4	0.046096415
29	8	0.046096415
29	48	0.37036845
29	129	0.920565533
11	30	0.397254078
29	179	0.678401824
29	24	0.631731234
11	36	0.304196003
29	2	0.020627381
11	361	0.678264815
29	50	0.495987998
11	12	0.173331603
29	8	0.308581107
11	92	0.566588626
29	77	0.603800172
29	12	0.36159824
29	45	0.631731234
29	14	0.304196003
11	122	0.36159824
11	2	0
29	226	0.605523823
29	165	0.583287231
29	14	0.45495557
29	5	0.046096415
11	18	0.397254078
11	17	0.36159824
11	14	0.046096415
11	3	0
29	7	0.491575035
29	50	0.511983055
29	41	0.421102449
11	2	0.765988495
11	25	0.329889381
11	101	0.365983345
29	156	0.605523823
29	25	0.511983055
29	20	0.563949242
29	90	0.644276724
29	56	0.397254078
11	84	0.291198398
11	90	0.62322762
29	4	0.046096415
29	4	0.109714009
29	14	0.592310537
29	66	0.563949242
29	21	0.479992941
11	4	0.034433497
29	28	0.452066324
29	33	0.598653795
29	6	0.273208276
50	96	0.615915429
50	2	0.206974447
50	120	0.647547038
50	149	0.663654746
50	1029	0.678082177
50	1058	0.701858158
50	46	0.228194456
50	8	0.275624049
50	9	0.304454333
50	6	0.275624049
50	89	0.422619479
50	4	0.186236196
50	21	0.492703993
50	10	0.422619479
50	87	0.424139706
50	6	0.36159824
50	10	0.317171857
50	86	0.459715892
50	4	0.13473435
50	2	0.13473435
50	48	0.492703993
50	26	0.424139706
50	34	0.391348746
50	563	0.918421853
50	28	0.486348467
50	166	1.055495113
50	432	1.084064265
50	37	0.683526335
50	6	0.678264815
50	357	0.9077666
50	37	0.724757415
50	60	0.797183117
50	196	0.781585806
50	70	0.610719626
50	30	0.663654746
50	317	0.886618201
50	24	0.710329984
50	606	0.937843524
50	209	0.841900659
50	84	0.683526335
50	283	0.797183117
50	166	0.9077666
50	11	0.304196003
50	148	0.797183117
50	18	0.492703993
50	43	0.765988495
50	11	0.651104858
50	20	0.479992941
50	361	1.004543925
50	60	0.781585806
50	5	0.334485028
50	65	0.797183117
50	58	1.055495113
50	23	0.765988495
50	58	0.502343524
50	22	0.371946588
50	4	0.511983055
50	8	0.392223637
50	200	0.929204528
50	57	0.631731234
50	112	0.669098904
50	2	1.055495113
50	25	0.701858158
50	36	0.511983055
50	50	0.502343524
50	12	0.246793765
50	112	1.004543925
